experiment_id,approach,model_name,dataset_name,passes_production_threshold,mlflow_run_id,notes,accuracy,precision_0,precision_1,recall_0,recall_1,f1_macro,f1_weighted,mcc,roc_auc,pr_auc,log_loss,ece,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
tfidf_combined__logistic_regression,classical,tfidf_combined__logistic_regression,v1,False,93f1aecb31a54949812a729984807463,,0.9183290707587383,0.6862601028655401,0.9884547069271759,0.947261663286004,0.9124820659971306,0.8724299505297022,0.9232216716927599,0.761631030600612,0.9768116616854035,0.9953435418026074,0.196976372322387,0.07733169452242261,1.6319471879887715,1.5885610000623274,1.935399999956644,3.76305500003582
tfidf_char__lightgbm,classical,tfidf_char__lightgbm,v1,False,f25103f9001c4a77a6630bceb062d31c,,0.9159420289855073,0.6824574389341229,0.9858218874612317,0.9350912778904665,0.9120721459315434,0.8682799457220143,0.920873055173482,0.752423951119683,0.9744198030471278,0.9948512746715972,0.19173815577350592,0.06584846248305584,146.0059107039979,71.78151999994498,285.0478764001082,308.52497900013987
tfidf_word__logistic_regression,classical,tfidf_word__logistic_regression,v1,False,98dc367ec9094f2186aac5ea84d31124,,0.9147485080988917,0.6771137026239067,0.9873135989316715,0.9421906693711968,0.9092027054724329,0.8673027446815211,0.9199706537159732,0.7521229969956043,0.9718480327370645,0.9943160587491958,0.23254430439681215,0.09912618845183133,0.5926650139999765,0.5829504998473567,0.6924714497927198,0.9966769998754899
word2vec__lightgbm,classical,word2vec__lightgbm,v1,False,82c47f3f6435438b8569ab96f46e3eb2,,0.8939471440750213,0.6305595408895266,0.9760679937374189,0.8914807302231237,0.8944455831112933,0.8360656990068756,0.9007235083756823,0.6904813841491323,0.9566366100192614,0.9911388261096667,0.23934485335558292,0.0779421801646258,1.4432602579954619,1.4315670000542013,1.5678863999255555,1.8254300002809032
tfidf_word__lightgbm,classical,tfidf_word__lightgbm,v1,False,5097a1d0b7cd4ac7b4735ec0adf50199,,0.8942881500426257,0.6231493943472409,0.986298241607673,0.9391480730223124,0.8852223816355811,0.8411109153563332,0.9021244652041778,0.7088093006883662,0.9654731728935576,0.9930826695282389,0.24185392493756958,0.09611671955437202,127.13270283998645,61.66124899982606,283.15175819996057,308.97535999974934
spacy__lightgbm,classical,spacy__lightgbm,v1,False,20842a5a6484410c87c2d3618afd3a59,,0.8774083546462063,0.5942131263232181,0.9676258992805755,0.8539553752535497,0.882147981143677,0.8118513271512358,0.885569844782062,0.6430953214741185,0.9402883450911657,0.9874614763141747,0.2847075421538251,0.10271894209390929,4.8205817520192795,4.666971000460762,5.863294950177077,11.721865000254184
tfidf_char__logistic_regression,classical,tfidf_char__logistic_regression,v1,False,354a4788cc0e4a37841a90ddd73b46a8,,0.8929241261722081,0.6185430463576159,0.9880597014925373,0.947261663286004,0.8819430211108834,0.8401939529498009,0.9011255541236897,0.7092234063293251,0.9661618469185527,0.9933045004106069,0.24338825406755452,0.09856193826293114,0.7571318799978144,0.7376285000191274,0.9456354500457564,2.1709480001845805
tfidf_word__catboost,classical,tfidf_word__catboost,v1,False,730310842a024a83b3e542a25a57a229,,0.8721227621483376,0.5769230769230769,0.9766797506349573,0.8975659229208925,0.8669809387169501,0.810473863812626,0.8822224919803167,0.6505807439536855,0.9474335719544831,0.9892268917584911,0.32517653614724473,0.14757543646689464,29.943937601996367,29.70867499993801,33.03539129994988,43.69752899992818
word2vec__catboost,classical,word2vec__catboost,v1,False,e34aa1718782444e859a6ff7f7c63908,,0.8695652173913043,0.5704270235818993,0.9788175046554934,0.907707910750507,0.86185693789711,0.8086041687773613,0.8803024655308598,0.6501378947912059,0.9477023481435318,0.9892688421578756,0.2897937572165913,0.1137082556696751,1.0552189879981597,1.0517834998609032,1.1847280002484695,1.346872999874904
tfidf_char__catboost,classical,tfidf_char__catboost,v1,False,75573b3598484859a1a9cfb68e53c10f,,0.8695652173913043,0.5680837954405422,0.9849127769919849,0.9350912778904665,0.8563230170116827,0.8114559130473991,0.8809336531612882,0.6615507482083243,0.9582546717791652,0.9915326352761847,0.27222116486302256,0.11209988668539732,35.656912435993945,35.45854800017878,37.702318000060586,48.056266000003234
tfidf_combined__catboost,classical,tfidf_combined__catboost,v1,False,de246eed8dc248138ae1b2e5dd5fe6c2,,0.8697357203751066,0.5682656826568265,0.9853739089407879,0.9371196754563894,0.8561180569788891,0.8118567617962484,0.8811229117339967,0.6626973775602899,0.9592192935156549,0.9916890240795537,0.270811715721979,0.1121294736291243,65.03481111399833,64.71554149993608,68.00974449963633,85.64201700028207
word2vec__logistic_regression,classical,word2vec__logistic_regression,v1,False,a43f68b7f36f4ce7bc732c6686077b33,,0.8463768115942029,0.5253126861226921,0.9751552795031055,0.8945233265720081,0.8366468538634966,0.7812602126190976,0.860478625059749,0.6049192117372405,0.9315140393465059,0.9859154934197996,0.3367499402888553,0.1292931008571448,0.24603503800153703,0.24837649993969535,0.3149096498646031,0.4997420001018327
spacy__catboost,classical,spacy__catboost,v1,False,f5dd546a03cb4308939049848bc3bf00,,0.8390451832907075,0.5125448028673835,0.9694583631591506,0.8701825557809331,0.8327526132404182,0.7705166996874766,0.8537558218925868,0.5820798716496629,0.9206898214685864,0.983293631554231,0.3701481542629232,0.16138433874430955,4.297401870020622,4.125233499962633,5.186196250178906,10.285287000442622
spacy__logistic_regression,classical,spacy__logistic_regression,v1,False,a46bf64d6e68417e953cd07812a0105b,,0.7885763000852515,0.43520408163265306,0.9659411011523688,0.8651115618661258,0.773109243697479,0.7189622680006975,0.8118048260360414,0.5059834006220126,0.8970452080302759,0.9778026212877516,0.42007449118806567,0.17570276414908023,2.8584040279693,2.713011500418361,3.7604836997161306,8.885191999979725
